subject_id,domain,mean_within,mean_between,n_within,n_between,switch_cost,spam_dispersion
10147,body-parts,7501.4,8671.900000000001,1,4,1170.5000000000018,0.16102371707593982
10147,foods,7204.55,6895.85,4,2,-308.6999999999998,0.15596778794840757
13498,animals,8805.133333333333,7661.266666666666,3,3,-1143.8666666666668,0.6003351179697481
13549,animals,4753.666666666667,4329.333333333333,3,6,-424.33333333333394,0.2979761367550347
13549,body-parts,5976.666666666667,5424.0,3,4,-552.666666666667,0.2871954708430025
13549,foods,5662.0,5143.5,3,4,-518.5,0.34093724289324134
20970,animals,4997.571428571428,8169.9,7,2,3172.328571428571,0.3299100114456283
20970,foods,6181.18,4350.3,5,1,-1830.88,0.33822872515347113
23853,animals,5360.0,4745.0,2,4,-615.0,0.2668562091827073
23853,body-parts,6130.0,5272.4,1,5,-857.6000000000004,0.23691515799864987
23853,foods,4177.666666666667,4926.166666666667,3,6,748.5,0.16322788034690444
25803,foods,1417.0,11678.45,1,2,10261.45,0.4638206224888093
31417,animals,9922.849999999999,5217.4800000000005,2,5,-4705.369999999998,0.15581514458896611
31417,body-parts,8404.2,3616.7,4,4,-4787.500000000001,0.15407946319307791
3342,animals,9006.466666666667,7968.666666666667,3,3,-1037.8000000000002,0.39238348357456815
3342,body-parts,6853.3,7409.325000000001,2,4,556.0250000000005,0.20517379355433024
3342,foods,7920.433333333333,8144.066666666666,3,3,223.6333333333323,0.1862645900123065
35389,animals,4811.942857142857,5817.1,7,2,1005.1571428571433,0.4134599175460843
35389,body-parts,3145.3444444444444,9093.5,9,2,5948.155555555555,0.35223119008664827
35389,foods,3230.8999999999996,1402.5,8,1,-1828.3999999999996,0.36380130392682186
42616,animals,7946.65,7678.8,4,1,-267.84999999999945,0.1377926215411725
42616,body-parts,8573.35,8616.1,2,1,42.75,0.07433820114180764
42616,foods,7363.9,7634.633333333334,2,3,270.7333333333345,0.20215078144267715
43909,animals,3425.988888888889,6692.3,9,2,3266.311111111111,0.13533452384049977
43909,foods,4404.466666666666,5228.75,6,2,824.2833333333338,0.22371120554686102
5157,animals,6370.05,4862.45,4,4,-1507.6000000000004,0.26764176207066626
5157,body-parts,3941.3888888888887,7303.75,9,2,3362.3611111111113,0.16574738070254022
53105,animals,6154.433333333334,6795.340000000001,3,5,640.9066666666668,0.4190994150175984
53105,foods,7472.266666666667,12074.8,3,2,4602.533333333332,0.3382445581151524
53307,animals,5182.883333333332,15062.7,6,1,9879.81666666667,0.2878503314649199
53307,body-parts,5283.4571428571435,6671.75,7,2,1388.2928571428565,0.33405605694717194
53307,foods,6554.633333333334,1768.3,6,1,-4786.333333333334,0.3356651215403926
61476,animals,1603.7,5526.357142857143,1,7,3922.6571428571433,0.28679338872556187
61476,colours,1362.6,3764.575,1,8,2401.975,0.2903721177411712
61476,foods,3680.4800000000005,1058.8,10,1,-2621.6800000000003,0.2718030925141208
